Type,Fin Length (mm),Fin Thickness (mm),Fin Depth (mm),Fin Spacing (mm),Density (kg/m2),Linear Mass (kg/m)
Tundra,2400,12,100,100,2.4,0.24
Tundra,2400,12,150,150,2.4,0.36
Tundra,2400,12,200,200,2.4,0.48
Tundra,2400,12,300,300,2.4,0.72
Tundra,2400,24,100,100,4.8,0.48
Tundra,2400,24,150,150,4.8,0.72
Tundra,2400,24,200,200,4.8,0.96
Tundra,2400,24,300,300,4.8,1.44
Dune,2400,12,300,300,2.4,0.72
Dune,2400,24,300,300,4.8,1.44
Sierra,2400,12,300,300,2.4,0.72
Sierra,2400,24,300,300,4.8,1.44
Talus,2400,12,300,300,2.4,0.72
Talus,2400,24,300,300,4.8,1.44
Axis,2400,12,150,300,2.4,0.36
