Manufacturer,Type,Plenum Height,Brace Specification,Capacity (kg)
Tracklok,Gridlok,200,Folded Plate,210
Tracklok,Gridlok,400,64x0.55BMT Stud,210
Tracklok,Gridlok,600,64x0.55BMT Stud,210
Tracklok,Gridlok,800,64x0.55BMT Stud,210
Tracklok,Gridlok,1000,64x0.55BMT Stud,210
Tracklok,Gridlok,1200,64x0.55BMT Stud,210
Tracklok,Gridlok,1400,64x0.55BMT Stud,210
Tracklok,Gridlok,1600,64x0.55BMT Stud,210
Tracklok,Gridlok,1800,92x0.75BMT Stud,210
Tracklok,Gridlok,2000,92x0.75BMT Stud,210
Tracklok,Gridlok,2200,Boxed 64x0.55BMT Studs,210
Tracklok,Gridlok,2400,Boxed 64x0.55BMT Studs,210
Tracklok,Gridlok,2600,Boxed 64x0.55BMT Studs,210
Tracklok,Gridlok,2800,Boxed 92x0.75BMT Studs,210
Tracklok,Gridlok,3000,Boxed 92x0.75BMT Studs,210
